"","sample","winhetbin_center","winhet_min","winhetbin_max","count"
"1","ENPAK19",0,-0.075,0.075,3
"2","ENPAK19",0.15,0.075,0.225,7
"3","ENPAK19",0.3,0.225,0.375,8
"4","ENPAK19",0.45,0.375,0.525,22
"5","ENPAK19",0.6,0.525,0.675,44
"6","ENPAK19",0.75,0.675,0.825,53
"7","ENPAK19",0.9,0.825,0.975,106
"8","ENPAK19",1.05,0.975,1.125,149
"9","ENPAK19",1.2,1.125,1.275,180
"10","ENPAK19",1.35,1.275,1.425,186
"11","ENPAK19",1.5,1.425,1.575,244
"12","ENPAK19",1.65,1.575,1.725,225
"13","ENPAK19",1.8,1.725,1.875,195
"14","ENPAK19",1.95,1.875,2.025,177
"15","ENPAK19",2.1,2.025,2.175,144
"16","ENPAK19",2.25,2.175,2.325,113
"17","ENPAK19",2.4,2.325,2.475,113
"18","ENPAK19",2.55,2.475,2.625,80
"19","ENPAK19",2.7,2.625,2.775,66
"20","ENPAK19",2.85,2.775,2.925,41
"21","ENPAK19",3,2.925,3.075,41
"22","ENPAK19",3.15,3.075,3.225,17
"23","ENPAK19",3.3,3.225,3.375,16
"24","ENPAK19",3.45,3.375,3.525,20
"25","ENPAK19",3.6,3.525,3.675,12
"26","ENPAK19",3.75,3.675,3.825,8
"27","ENPAK19",3.9,3.825,3.975,4
"28","ENPAK19",4.05,3.975,4.125,2
"29","ENPAK19",4.2,4.125,4.275,0
"30","ENPAK19",4.35,4.275,4.425,2
"31","ENPAK19",4.5,4.425,4.575,2
"32","ENPAK19",4.65,4.575,4.725,2
"33","ENPAK19",4.8,4.725,4.875,2
"34","ENPAK19",4.95,4.875,5.025,0
"35","ENPAK19",5.1,5.025,5.175,0
"36","ENPAK19",5.25,5.175,5.325,0
"37","ENPAK19",5.4,5.325,5.475,0
"38","ENPAK19",5.55,5.475,5.625,0
"39","ENPAK19",5.7,5.625,5.775,0
"40","ENPAK19",5.85,5.775,5.925,0
"41","ENPAK19",6,5.925,6.075,0
"42","ENPAK19",6.15,6.075,6.225,0
